id,name,latitude,longitude,timestamp,distance,timeSecs,knots
72,TSE - 4myplanet,46.405109999999986,-1.8857399999999995,1604843220,382,60,12.375781333333332
72,TSE - 4myplanet,46.40358999999999,-1.8900399999999995,1604843280,371,60,12.019410666666667
72,TSE - 4myplanet,46.40204999999999,-1.8945999999999994,1604843340,390,60,12.63496
72,TSE - 4myplanet,46.40048999999999,-1.8990499999999995,1604843400,383,60,12.408178666666668
72,TSE - 4myplanet,46.39897999999999,-1.9034099999999994,1604843460,375,60,12.149000000000001
72,TSE - 4myplanet,46.397429999999986,-1.9077899999999994,1604843520,378,60,12.246191999999999
72,TSE - 4myplanet,46.39589999999998,-1.9121999999999995,1604843580,379,60,12.278589333333333
72,TSE - 4myplanet,46.394379999999984,-1.9170499999999995,1604843640,409,60,13.250509333333333
72,TSE - 4myplanet,46.39286999999998,-1.9217799999999994,1604843700,400,60,12.958933333333334
72,TSE - 4myplanet,46.39143999999998,-1.9265799999999993,1604843760,401,60,12.991330666666666
72,TSE - 4myplanet,46.38997999999998,-1.9316899999999992,1604843820,425,60,13.768866666666666
72,TSE - 4myplanet,46.37986999999998,-1.9788999999999992,1604844360,3796,540,13.664475259259259
72,TSE - 4myplanet,46.37938999999998,-1.9847099999999993,1604844420,449,60,14.546402666666667
72,TSE - 4myplanet,46.37875999999998,-1.9904099999999993,1604844480,443,60,14.352018666666668
72,TSE - 4myplanet,46.37726999999998,-2.0019399999999994,1604844600,901,120,14.594998666666667
72,TSE - 4myplanet,46.37668999999998,-2.0130399999999993,1604844720,855,120,13.84986
72,TSE - 4myplanet,46.37630999999998,-2.018439999999999,1604844780,417,60,13.509688
72,TSE - 4myplanet,46.37460999999998,-2.040669999999999,1604845020,1718,240,13.914654666666667
72,TSE - 4myplanet,46.37433999999998,-2.046699999999999,1604845080,464,60,15.032362666666668
72,TSE - 4myplanet,46.37414999999998,-2.052579999999999,1604845140,452,60,14.643594666666667
72,TSE - 4myplanet,46.37386999999998,-2.058119999999999,1604845200,427,60,13.833661333333332
72,TSE - 4myplanet,46.373539999999984,-2.0637299999999987,1604845260,432,60,13.995648000000001
